    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  6.06307E-30  2.57783E-29  1.15925E+00 -4.45342E-01
 1.00000E-01  2.03767E-03 -3.89046E-02  1.05925E+00 -3.34417E-01
 2.00000E-01  7.42784E-03 -6.72168E-02  9.59245E-01 -2.33493E-01
 3.00000E-01  1.51613E-02 -8.59365E-02  8.59245E-01 -1.42568E-01
 4.00000E-01  2.43287E-02 -9.60638E-02  7.59245E-01 -6.16438E-02
 5.00000E-01  3.41210E-02 -9.85986E-02  6.59245E-01  9.28075E-03
 6.00000E-01  4.38287E-02 -9.45410E-02  5.59245E-01  7.02053E-02
 7.00000E-01  5.28427E-02 -8.48909E-02  4.59245E-01  1.21130E-01
 8.00000E-01  6.06538E-02 -7.06483E-02  3.59245E-01  1.62054E-01
 9.00000E-01  6.68527E-02 -5.28134E-02  2.59245E-01  1.92979E-01
 1.00000E+00  7.11301E-02 -3.23859E-02  1.59245E-01  2.13903E-01
 1.10000E+00  7.32756E-02 -1.03181E-02  8.81985E-02  2.26268E-01
 1.20000E+00  7.31643E-02  1.26320E-02  1.75630E-02  2.31557E-01
 1.30000E+00  7.07433E-02  3.57573E-02 -5.35784E-02  2.29764E-01
 1.40000E+00  6.60307E-02  5.83456E-02 -1.26148E-01  2.20793E-01
 1.50000E+00  5.91163E-02  7.96705E-02 -2.01048E-01  2.04457E-01
 1.60000E+00  5.01637E-02  9.89823E-02 -2.79127E-01  1.80478E-01
 1.70000E+00  3.94129E-02  1.15500E-01 -3.61157E-01  1.48499E-01
 1.80000E+00  2.71842E-02  1.28401E-01 -4.47794E-01  1.08093E-01
 1.90000E+00  1.38820E-02  1.36821E-01 -5.39553E-01  5.87697E-02
 2.00000E+00  0.00000E+00  1.39840E-01 -6.36766E-01  0.00000E+00

========================
Bending energy   :  3.64003E-02
Foundation energy:  6.23016E-03
Total energy     :  4.26305E-02
External work    :  4.26257E-02
