    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  4.83951E-01  2.71837E-01 -1.00000E+00  0.00000E+00
 1.00000E-01  4.56926E-01  2.67155E-01 -8.11841E-01 -9.05000E-02
 2.00000E-01  4.30791E-01  2.54346E-01 -6.34341E-01 -1.62722E-01
 3.00000E-01  4.06269E-01  2.35185E-01 -4.66992E-01 -2.17708E-01
 4.00000E-01  3.83910E-01  2.11346E-01 -3.09036E-01 -2.56434E-01
 5.00000E-01  3.64103E-01  1.84410E-01 -1.59524E-01 -2.79796E-01
 6.00000E-01  3.47081E-01  1.55873E-01 -1.73815E-02 -2.88586E-01
 7.00000E-01  3.32934E-01  1.27156E-01  1.18525E-01 -2.83480E-01
 8.00000E-01  3.21611E-01  9.96208E-02  2.49342E-01 -2.65049E-01
 9.00000E-01  3.12927E-01  7.45751E-02  3.76166E-01 -2.33746E-01
 1.00000E+00  3.06570E-01  5.32888E-02  4.99995E-01 -1.89917E-01
 1.10000E+00  3.02112E-01  3.66309E-02  4.00006E-01 -1.44917E-01
 1.20000E+00  2.99110E-01  2.39723E-02  3.00006E-01 -1.09915E-01
 1.30000E+00  2.97217E-01  1.43143E-02  2.00006E-01 -8.49159E-02
 1.40000E+00  2.96181E-01  6.65605E-03  1.00006E-01 -6.99153E-02
 1.50000E+00  2.95852E-01 -2.11591E-06  5.76810E-06 -6.49137E-02
 1.60000E+00  2.96181E-01 -6.66023E-03 -9.99942E-02 -6.99141E-02
 1.70000E+00  2.97218E-01 -1.43183E-02 -1.99994E-01 -8.49136E-02
 1.80000E+00  2.99112E-01 -2.39760E-02 -2.99994E-01 -1.09912E-01
 1.90000E+00  3.02113E-01 -3.66342E-02 -3.99994E-01 -1.44912E-01
 2.00000E+00  3.06572E-01 -5.32916E-02 -4.99994E-01 -1.89911E-01
 2.10000E+00  3.12929E-01 -7.45774E-02 -3.76176E-01 -2.33741E-01
 2.20000E+00  3.21613E-01 -9.96227E-02 -2.49351E-01 -2.65045E-01
 2.30000E+00  3.32937E-01 -1.27158E-01 -1.18533E-01 -2.83477E-01
 2.40000E+00  3.47084E-01 -1.55874E-01  1.73745E-02 -2.88584E-01
 2.50000E+00  3.64105E-01 -1.84411E-01  1.59518E-01 -2.79794E-01
 2.60000E+00  3.83913E-01 -2.11347E-01  3.09032E-01 -2.56433E-01
 2.70000E+00  4.06271E-01 -2.35186E-01  4.66988E-01 -2.17708E-01
 2.80000E+00  4.30794E-01 -2.54347E-01  6.34338E-01 -1.62722E-01
 2.90000E+00  4.56929E-01 -2.67156E-01  8.11840E-01 -9.05000E-02
 3.00000E+00  4.83954E-01 -2.71838E-01  1.00000E+00  0.00000E+00

========================
Bending energy   :  5.98019E-02
Foundation energy:  5.73691E-01
Total energy     :  6.33493E-01
External work    :  1.49539E-01
