    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  2.50485E-05  5.55948E-07  0.00000E+00  0.00000E+00
 1.00000E-01  2.49867E-05  7.85551E-07  7.76538E-05  5.90813E-06
 2.00000E-01  2.48709E-05  1.52185E-06 -1.81225E-04  4.59157E-06
 3.00000E-01  2.47525E-05 -3.90822E-08 -9.81821E-04 -4.93151E-05
 4.00000E-01  2.52043E-05 -1.12978E-05 -1.44007E-03 -1.84704E-04
 5.00000E-01  2.74147E-05 -3.30395E-05  3.04952E-03 -1.77831E-04
 6.00000E-01  3.05814E-05 -1.36571E-05  1.95935E-02  8.43103E-04
 7.00000E-01  2.35511E-05  2.04065E-04  3.50172E-02  3.79150E-03
 8.00000E-01 -2.04906E-05  7.00193E-04 -4.19238E-02  4.90574E-03
 9.00000E-01 -9.79311E-05  5.49276E-04 -3.81869E-01 -1.36007E-02
 1.00000E+00  7.65867E-12 -3.56047E-03 -1.56064E-01 -7.58426E-02
 1.10000E+00  6.57959E-04 -8.84785E-03  4.00000E-01 -3.12137E-02
 1.20000E+00  1.63632E-03 -1.01362E-02  3.00000E-01  3.78728E-03
 1.30000E+00  2.58514E-03 -8.42392E-03  2.00000E-01  2.87863E-02
 1.40000E+00  3.25443E-03 -4.71196E-03  1.00000E-01  4.37863E-02
 1.50000E+00  3.49424E-03  2.17817E-11 -3.63759E-10  4.87873E-02
 1.60000E+00  3.25443E-03  4.71196E-03 -1.00000E-01  4.37863E-02
 1.70000E+00  2.58514E-03  8.42392E-03 -2.00000E-01  2.87863E-02
 1.80000E+00  1.63632E-03  1.01362E-02 -3.00000E-01  3.78728E-03
 1.90000E+00  6.57959E-04  8.84785E-03 -4.00000E-01 -3.12137E-02
 2.00000E+00  1.03363E-12  3.56047E-03  1.56063E-01 -7.58426E-02
 2.10000E+00 -9.79311E-05 -5.49276E-04  3.81869E-01 -1.36007E-02
 2.20000E+00 -2.04906E-05 -7.00193E-04  4.19238E-02  4.90574E-03
 2.30000E+00  2.35511E-05 -2.04065E-04 -3.50172E-02  3.79150E-03
 2.40000E+00  3.05814E-05  1.36571E-05 -1.95935E-02  8.43103E-04
 2.50000E+00  2.74147E-05  3.30395E-05 -3.04952E-03 -1.77831E-04
 2.60000E+00  2.52043E-05  1.12978E-05  1.44007E-03 -1.84704E-04
 2.70000E+00  2.47525E-05  3.90822E-08  9.81821E-04 -4.93151E-05
 2.80000E+00  2.48709E-05 -1.52185E-06  1.81225E-04  4.59157E-06
 2.90000E+00  2.49867E-05 -7.85551E-07 -7.76538E-05  5.90813E-06
 3.00000E+00  2.50485E-05 -5.55948E-07  0.00000E+00  0.00000E+00

========================
Bending energy   :  9.28487E-04
Foundation energy:  6.74586E-05
Total energy     :  9.95945E-04
External work    :  9.95808E-04
