    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  3.13360E-28  1.72707E-28  2.81887E-01 -2.42902E-02
 1.00000E-01  7.86365E-05 -1.18625E-03  1.81887E-01 -1.10150E-03
 2.00000E-01  1.76621E-04 -5.53633E-04  8.18871E-02  1.20872E-02
 3.00000E-01  1.62067E-04  8.97856E-04 -1.81129E-02  1.52759E-02
 4.00000E-01  3.08781E-06  2.16822E-03 -1.18113E-01  8.46462E-03
 5.00000E-01 -2.32205E-04  2.25745E-03 -2.18113E-01 -8.34668E-03
 6.00000E-01 -3.75697E-04  1.65547E-04 -3.18113E-01 -3.51580E-02
 7.00000E-01 -1.59276E-04 -5.10748E-03 -4.18113E-01 -7.19693E-02
 8.00000E-01  7.85170E-04 -1.45616E-02 -5.18113E-01 -1.18781E-01
 9.00000E-01  2.92576E-03 -2.91969E-02 -6.18113E-01 -1.75592E-01
 1.00000E+00  6.83059E-03 -5.00133E-02 -7.18113E-01 -2.42403E-01
 1.10000E+00  1.31673E-02 -7.79890E-02 -8.02488E-01 -3.18518E-01
 1.20000E+00  2.26957E-02 -1.13979E-01 -8.74277E-01 -4.02483E-01
 1.30000E+00  3.62542E-02 -1.58697E-01 -9.27714E-01 -4.92763E-01
 1.40000E+00  5.47438E-02 -2.12670E-01 -9.55635E-01 -5.87177E-01
 1.50000E+00  7.91063E-02 -2.76172E-01 -9.49401E-01 -6.82753E-01
 1.60000E+00  1.10294E-01 -3.49131E-01 -8.98854E-01 -7.75581E-01
 1.70000E+00  1.49231E-01 -4.31031E-01 -7.92326E-01 -8.60659E-01
 1.80000E+00  1.96763E-01 -5.20798E-01 -6.16728E-01 -9.31746E-01
 1.90000E+00  2.53595E-01 -6.16662E-01 -3.57721E-01 -9.81226E-01
 2.00000E+00  3.20213E-01 -7.16021E-01  0.00000E+00 -1.00000E+00

========================
Bending energy   :  2.55060E-01
Foundation energy:  1.56961E-01
Total energy     :  4.12021E-01
External work    :  5.40094E-02
