    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  2.69079E-01  3.10745E-01 -5.16988E-26  9.09615E-26
 1.50000E-01  2.22488E-01  3.10183E-01 -1.50000E-01 -1.12500E-02
 3.00000E-01  1.76193E-01  3.06245E-01 -3.00000E-01 -4.50000E-02
 4.50000E-01  1.30952E-01  2.95558E-01 -4.50000E-01 -1.01250E-01
 6.00000E-01  8.80314E-02  2.74745E-01 -6.00000E-01 -1.80000E-01
 7.50000E-01  4.92032E-02  2.40433E-01 -7.50000E-01 -2.81250E-01
 9.00000E-01  1.67454E-02  1.89245E-01 -9.00000E-01 -4.05000E-01
 1.05000E+00 -6.60266E-03  1.20495E-01  1.09021E+00 -4.43879E-01
 1.20000E+00 -2.02620E-02  6.52319E-02  8.04642E-01 -3.00133E-01
 1.35000E+00 -2.70721E-02  2.78955E-02  4.22975E-01 -2.07249E-01
 1.50000E+00 -2.91043E-02 -4.43303E-10 -1.21619E-09 -1.75283E-01
 1.65000E+00 -2.70721E-02 -2.78955E-02 -4.22975E-01 -2.07249E-01
 1.80000E+00 -2.02620E-02 -6.52319E-02 -8.04642E-01 -3.00133E-01
 1.95000E+00 -6.60266E-03 -1.20495E-01 -1.09021E+00 -4.43879E-01
 2.10000E+00  1.67454E-02 -1.89245E-01  9.00000E-01 -4.05000E-01
 2.25000E+00  4.92032E-02 -2.40433E-01  7.50000E-01 -2.81250E-01
 2.40000E+00  8.80314E-02 -2.74745E-01  6.00000E-01 -1.80000E-01
 2.55000E+00  1.30952E-01 -2.95558E-01  4.50000E-01 -1.01250E-01
 2.70000E+00  1.76193E-01 -3.06245E-01  3.00000E-01 -4.50000E-02
 2.85000E+00  2.22488E-01 -3.10183E-01  1.50000E-01 -1.12500E-02
 3.00000E+00  2.69079E-01 -3.10745E-01  0.00000E+00  0.00000E+00

========================
Bending energy   :  9.63620E-02
Foundation energy:  1.55053E-02
Total energy     :  1.11867E-01
External work    :  1.11866E-01
