    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00 -4.20556E-31  1.11734E-30  9.93253E-02 -5.36315E-03
 1.50000E-01  2.33913E-05 -1.69162E-04  3.75395E-03  6.93680E-04
 3.00000E-01  4.02651E-05 -4.68597E-05  1.19770E-02  1.18884E-03
 4.50000E-01  2.42210E-05  3.34915E-04  1.00643E-02  3.93755E-03
 6.00000E-01 -6.04934E-05  5.77589E-04 -1.79010E-01 -5.41875E-03
 7.50000E-01  6.12362E-05 -3.48113E-03 -4.51209E-01 -5.59985E-02
 9.00000E-01  1.43722E-03 -1.58888E-02  2.20188E-01 -9.29593E-02
 1.05000E+00  4.52476E-03 -2.23060E-02  3.84353E-01  7.82355E-03
 1.20000E+00  7.58755E-03 -1.73710E-02  2.34353E-01  5.42264E-02
 1.35000E+00  9.47242E-03 -7.16310E-03  8.43526E-02  7.81293E-02
 1.50000E+00  9.64158E-03  4.94277E-03 -6.56474E-02  7.95322E-02
 1.65000E+00  8.06345E-03  1.55716E-02 -2.15647E-01  5.84351E-02
 1.80000E+00  5.21271E-03  2.13483E-02 -3.65647E-01  1.48380E-02
 1.95000E+00  2.07031E-03  1.88980E-02 -5.15647E-01 -5.12591E-02
 2.10000E+00  1.37468E-04  5.54160E-03  6.58459E-01 -8.83373E-02
 2.25000E+00 -7.15502E-05 -6.45033E-04  2.57053E-01 -6.39903E-03
 2.40000E+00  1.63112E-05 -2.96612E-04 -2.49046E-02  4.18074E-03
 2.55000E+00  2.98618E-05  1.73595E-05 -1.33458E-02  4.08562E-04
 2.70000E+00  2.66292E-05  1.89328E-05  5.71478E-03  8.57311E-05
 2.85000E+00  1.88595E-05  1.10320E-04 -8.37234E-04  1.00413E-03
 3.00000E+00  1.78810E-32  0.00000E+00 -9.97191E-02 -4.96838E-03

========================
Bending energy   :  3.10594E-03
Foundation energy:  2.81810E-03
Total energy     :  5.92404E-03
External work    :  5.92338E-03
