    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  1.15981E-29  1.38646E-29  6.83362E-01 -2.78773E-01
 1.00000E-01  1.28414E-03 -2.46272E-02  5.83362E-01 -2.15437E-01
 2.00000E-01  4.73098E-03 -4.34207E-02  4.83362E-01 -1.62101E-01
 3.00000E-01  9.80717E-03 -5.73807E-02  3.83362E-01 -1.18765E-01
 4.00000E-01  1.60793E-02 -6.75070E-02  2.83362E-01 -8.54284E-02
 5.00000E-01  2.32141E-02 -7.47997E-02  1.83362E-01 -6.20922E-02
 6.00000E-01  3.09781E-02 -8.02588E-02  8.33620E-02 -4.87560E-02
 7.00000E-01  3.92381E-02 -8.48842E-02 -1.66380E-02 -4.54198E-02
 8.00000E-01  4.79605E-02 -8.96761E-02 -1.16638E-01 -5.20836E-02
 9.00000E-01  5.72122E-02 -9.56343E-02 -2.16638E-01 -6.87474E-02
 1.00000E+00  6.71596E-02 -1.03759E-01 -3.16638E-01 -9.54112E-02
 1.10000E+00  7.80649E-02 -1.14864E-01 -3.00612E-01 -1.26419E-01
 1.20000E+00  9.02323E-02 -1.28959E-01 -2.66162E-01 -1.54920E-01
 1.30000E+00  1.03945E-01 -1.45699E-01 -2.11044E-01 -1.78963E-01
 1.40000E+00  1.19442E-01 -1.64531E-01 -1.32585E-01 -1.96351E-01
 1.50000E+00  1.36895E-01 -1.84666E-01 -2.77840E-02 -2.04602E-01
 1.60000E+00  1.56384E-01 -2.05054E-01  1.06567E-01 -2.00923E-01
 1.70000E+00  1.77870E-01 -2.24349E-01  2.73712E-01 -1.82196E-01
 1.80000E+00  2.01162E-01 -2.40877E-01  4.76717E-01 -1.44985E-01
 1.90000E+00  2.25886E-01 -2.52606E-01  7.18198E-01 -8.55689E-02
 2.00000E+00  2.51443E-01 -2.57119E-01  1.00000E+00  0.00000E+00

========================
Bending energy   :  2.04491E-02
Foundation energy:  1.90829E-01
Total energy     :  2.11278E-01
External work    :  8.55562E-02
