    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00 -5.48174E-30 -4.24328E-29  5.50117E-01 -1.01048E-01
 1.00000E-01  4.17722E-04 -7.52091E-03  4.50117E-01 -5.10365E-02
 2.00000E-01  1.35414E-03 -1.05406E-02  3.50117E-01 -1.10249E-02
 3.00000E-01  2.40914E-03 -1.00592E-02  2.50117E-01  1.89868E-02
 4.00000E-01  3.28261E-03 -7.07661E-03  1.50117E-01  3.89985E-02
 5.00000E-01  3.77443E-03 -2.59284E-03  5.01169E-02  4.90102E-02
 6.00000E-01  3.78447E-03  2.39210E-03 -4.98831E-02  4.90219E-02
 7.00000E-01  3.31264E-03  6.87821E-03 -1.49883E-01  3.90336E-02
 8.00000E-01  2.45879E-03  9.86549E-03 -2.49883E-01  1.90453E-02
 9.00000E-01  1.42283E-03  1.03539E-02 -3.49883E-01 -1.09430E-02
 1.00000E+00  5.04635E-04  7.34355E-03 -4.49883E-01 -5.09313E-02
 1.10000E+00  4.14475E-05  2.15636E-03  3.65032E-01 -3.98253E-02
 1.20000E+00 -3.33778E-05 -1.38115E-04  2.05693E-01 -8.96989E-03
 1.30000E+00 -8.71461E-08 -3.52565E-04  3.25855E-02  1.77655E-03
 1.40000E+00  2.39778E-05 -1.27537E-04 -1.18976E-02  2.00876E-03
 1.50000E+00  2.85181E-05  2.22474E-05 -1.97602E-03  1.16863E-03
 1.60000E+00  2.03319E-05  1.45093E-04 -1.97477E-04  1.33149E-03
 1.70000E+00  5.31080E-07  2.17736E-04 -5.57459E-02 -7.94914E-04
 1.80000E+00 -3.27201E-06 -3.33297E-04 -1.78884E-01 -1.23359E-02
 1.90000E+00  1.24316E-04 -2.54248E-03 -1.10697E-01 -3.09579E-02
 2.00000E+00  5.25019E-04 -5.00086E-03  1.00000E+00  0.00000E+00

========================
Bending energy   :  1.05594E-03
Foundation energy:  3.63882E-04
Total energy     :  1.41982E-03
External work    :  1.15721E-03
