    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  1.67766E-01  1.87687E-01  0.00000E+00  0.00000E+00
 1.00000E-01  1.48999E-01  1.87629E-01 -3.66480E-02 -1.77021E-03
 2.00000E-01  1.30253E-01  1.87198E-01 -8.07991E-02 -7.58007E-03
 3.00000E-01  1.11586E-01  1.85954E-01 -1.32435E-01 -1.81790E-02
 4.00000E-01  9.31062E-02  1.83378E-01 -1.91506E-01 -3.43150E-02
 5.00000E-01  7.49745E-02  1.78881E-01 -2.57904E-01 -5.67251E-02
 6.00000E-01  5.74159E-02  1.71800E-01 -3.31449E-01 -8.61335E-02
 7.00000E-01  4.07252E-02  1.61398E-01 -4.11856E-01 -1.23244E-01
 8.00000E-01  2.52739E-02  1.46872E-01 -4.98705E-01 -1.68720E-01
 9.00000E-01  1.15170E-02  1.27355E-01 -5.91411E-01 -2.23179E-01
 1.00000E+00  1.40389E-09  1.01919E-01 -9.45962E-02 -2.86836E-01
 1.10000E+00 -8.83496E-03  7.55355E-02  4.00000E-01 -2.42172E-01
 1.20000E+00 -1.52404E-02  5.31513E-02  3.00000E-01 -2.07171E-01
 1.30000E+00 -1.95653E-02  3.37678E-02  2.00000E-01 -1.82172E-01
 1.40000E+00 -2.20604E-02  1.63839E-02  1.00000E-01 -1.67172E-01
 1.50000E+00 -2.28756E-02  4.00628E-09 -1.09214E-08 -1.62171E-01
 1.60000E+00 -2.20604E-02 -1.63839E-02 -1.00000E-01 -1.67172E-01
 1.70000E+00 -1.95653E-02 -3.37678E-02 -2.00000E-01 -1.82172E-01
 1.80000E+00 -1.52404E-02 -5.31513E-02 -3.00000E-01 -2.07171E-01
 1.90000E+00 -8.83496E-03 -7.55355E-02 -4.00000E-01 -2.42172E-01
 2.00000E+00 -2.14733E-09 -1.01919E-01  9.45962E-02 -2.86836E-01
 2.10000E+00  1.15170E-02 -1.27355E-01  5.91411E-01 -2.23179E-01
 2.20000E+00  2.52739E-02 -1.46872E-01  4.98705E-01 -1.68720E-01
 2.30000E+00  4.07252E-02 -1.61398E-01  4.11856E-01 -1.23244E-01
 2.40000E+00  5.74159E-02 -1.71800E-01  3.31449E-01 -8.61335E-02
 2.50000E+00  7.49745E-02 -1.78881E-01  2.57904E-01 -5.67251E-02
 2.60000E+00  9.31062E-02 -1.83378E-01  1.91506E-01 -3.43150E-02
 2.70000E+00  1.11586E-01 -1.85954E-01  1.32435E-01 -1.81790E-02
 2.80000E+00  1.30253E-01 -1.87198E-01  8.07991E-02 -7.58007E-03
 2.90000E+00  1.48999E-01 -1.87629E-01  3.66480E-02 -1.77021E-03
 3.00000E+00  1.67766E-01 -1.87687E-01  0.00000E+00  0.00000E+00

========================
Bending energy   :  3.58307E-02
Foundation energy:  3.40730E-02
Total energy     :  6.99037E-02
External work    :  6.99032E-02
