    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00 -6.91002E-30 -4.17854E-29  5.35328E-01 -9.55752E-02
 1.00000E-01  3.92821E-04 -7.04755E-03  4.35328E-01 -4.70424E-02
 2.00000E-01  1.26440E-03 -9.74181E-03  3.35328E-01 -8.50958E-03
 3.00000E-01  2.22941E-03 -9.08280E-03  2.35328E-01  2.00233E-02
 4.00000E-01  3.00252E-03 -6.07050E-03  1.35328E-01  3.85561E-02
 5.00000E-01  3.39840E-03 -1.70491E-03  3.53283E-02  4.70889E-02
 6.00000E-01  3.33172E-03  3.01395E-03 -6.46717E-02  4.56217E-02
 7.00000E-01  2.81716E-03  7.08610E-03 -1.64672E-01  3.41546E-02
 8.00000E-01  1.96939E-03  9.51154E-03 -2.64672E-01  1.26874E-02
 9.00000E-01  1.00308E-03  9.29025E-03 -3.64672E-01 -1.87798E-02
 1.00000E+00  2.32900E-04  5.42225E-03 -4.64672E-01 -6.02469E-02
 1.10000E+00 -2.73072E-05  4.87423E-04  5.04697E-01 -2.45645E-02
 1.20000E+00 -1.66895E-05 -2.67750E-04  6.24022E-02  1.80328E-03
 1.30000E+00 -1.26472E-06 -7.29428E-05 -5.28831E-02  2.69290E-04
 1.40000E+00  1.32568E-05 -2.87205E-04  1.32097E-02 -3.55424E-03
 1.50000E+00  4.42385E-05  3.94980E-06  1.02659E-03  1.73052E-02
 1.60000E+00  1.22359E-05  2.99700E-04 -1.85519E-02 -3.58281E-03
 1.70000E+00 -1.68527E-06  2.24753E-05  2.80953E-02 -1.31116E-03
 1.80000E+00 -8.50078E-07 -1.59250E-05  3.27116E-03  1.15111E-04
 1.90000E+00  7.65219E-09 -2.03152E-06 -1.52192E-03  8.94925E-05
 2.00000E+00 -4.73954E-37  0.00000E+00 -1.19865E-03 -4.26138E-05

========================
Bending energy   :  9.02241E-04
Foundation energy:  9.85595E-05
Total energy     :  1.00080E-03
External work    :  1.00071E-03
