    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00 -4.29011E-01 -1.42705E+00  0.00000E+00  1.00000E+00
 1.50000E-01 -2.26171E-01 -1.27789E+00 -1.95435E-01  9.83821E-01
 3.00000E-01 -4.54296E-02 -1.13292E+00 -2.75828E-01  9.47121E-01
 4.50000E-01  1.14010E-01 -9.93966E-01 -2.54212E-01  9.06172E-01
 6.00000E-01  2.53041E-01 -8.60562E-01 -1.43097E-01  8.75331E-01
 7.50000E-01  3.72335E-01 -7.30232E-01  4.54931E-02  8.67116E-01
 9.00000E-01  4.72056E-01 -5.98755E-01  2.99796E-01  8.92265E-01
 1.05000E+00  5.51622E-01 -4.60498E-01  4.50008E-01  9.55820E-01
 1.20000E+00  6.09712E-01 -3.12625E-01  3.00008E-01  1.01207E+00
 1.35000E+00  6.45072E-01 -1.58001E-01  1.50008E-01  1.04582E+00
 1.50000E+00  6.56943E-01 -2.95549E-06  8.05683E-06  1.05707E+00
 1.65000E+00  6.45073E-01  1.57996E-01 -1.49992E-01  1.04583E+00
 1.80000E+00  6.09713E-01  3.12620E-01 -2.99992E-01  1.01208E+00
 1.95000E+00  5.51624E-01  4.60494E-01 -4.49992E-01  9.55828E-01
 2.10000E+00  4.72059E-01  5.98752E-01 -2.99809E-01  8.92272E-01
 2.25000E+00  3.72338E-01  7.30230E-01 -4.55050E-02  8.67121E-01
 2.40000E+00  2.53045E-01  8.60560E-01  1.43087E-01  8.75334E-01
 2.55000E+00  1.14014E-01  9.93964E-01  2.54205E-01  9.06174E-01
 2.70000E+00 -4.54255E-02  1.13292E+00  2.75823E-01  9.47122E-01
 2.85000E+00 -2.26167E-01  1.27789E+00  1.95433E-01  9.83821E-01
 3.00000E+00 -4.29006E-01  1.42704E+00  0.00000E+00  1.00000E+00

========================
Bending energy   :  1.36347E+00
Foundation energy:  3.70290E-01
Total energy     :  1.73376E+00
External work    :  3.06709E-01
