    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  4.69920E-30 -1.48279E-29  9.43932E-01 -3.09333E-01
 1.00000E-01  1.39351E-03 -2.63803E-02  8.43932E-01 -2.19940E-01
 2.00000E-01  4.99475E-03 -4.43213E-02  7.43932E-01 -1.40546E-01
 3.00000E-01  1.00098E-02 -5.48229E-02  6.43932E-01 -7.11532E-02
 4.00000E-01  1.57447E-02 -5.88852E-02  5.43932E-01 -1.17600E-02
 5.00000E-01  2.16055E-02 -5.75082E-02  4.43932E-01  3.76332E-02
 6.00000E-01  2.70984E-02 -5.16919E-02  3.43932E-01  7.70263E-02
 7.00000E-01  3.18293E-02 -4.24363E-02  2.43932E-01  1.06420E-01
 8.00000E-01  3.55043E-02 -3.07414E-02  1.43932E-01  1.25813E-01
 9.00000E-01  3.79296E-02 -1.76071E-02  4.39319E-02  1.35206E-01
 1.00000E+00  3.90111E-02 -4.03350E-03 -5.60681E-02  1.34599E-01
 1.10000E+00  3.87501E-02  9.17207E-03 -4.04777E-02  1.29772E-01
 1.20000E+00  3.71902E-02  2.19726E-02 -2.52469E-02  1.26491E-01
 1.30000E+00  3.43640E-02  3.45198E-02 -1.08943E-02  1.24694E-01
 1.40000E+00  3.02898E-02  4.69570E-02  2.07794E-03  1.24266E-01
 1.50000E+00  2.49720E-02  5.94133E-02 -4.86828E-01  1.24765E-01
 1.60000E+00  1.85695E-02  6.69993E-02 -9.78095E-01  2.68219E-02
 1.70000E+00  1.18982E-02  6.48023E-02 -9.72008E-01 -7.06609E-02
 1.80000E+00  5.93308E-03  5.28831E-02 -9.68482E-01 -1.67666E-01
 1.90000E+00  1.64443E-03  3.12772E-02 -9.67038E-01 -2.64427E-01
 2.00000E+00  0.00000E+00  0.00000E+00 -9.66814E-01 -3.61114E-01

========================
Bending energy   :  2.13866E-02
Foundation energy:  1.37887E-03
Total energy     :  2.27655E-02
External work    :  2.27622E-02
