  №     z/L           v            ϑ            Q            M      
====================================================================
  0  0.00000E+00 -1.42900E-37  3.09743E-36  9.98888E-02 -4.98377E-03
  1  1.00000E-01  1.22301E-05 -1.53761E-04  1.96763E-02  5.56753E-04
  2  2.00000E-01  2.32009E-05 -6.18119E-05 -6.25791E-03  8.60868E-04
  3  3.00000E-01  2.62570E-05 -1.11922E-05 -5.66079E-03  1.67072E-04
  4  4.00000E-01  2.72428E-05 -1.28302E-05  1.24596E-03 -8.50827E-05
  5  5.00000E-01  2.83242E-05  2.11965E-06  1.28135E-02  5.78224E-04
  6  6.00000E-01  2.25822E-05  1.43077E-04  1.92816E-02  2.36418E-03
  7  7.00000E-01 -5.73525E-06  4.27131E-04 -3.72578E-02  2.40755E-03
  8  8.00000E-01 -4.76401E-05  2.00705E-04 -2.50363E-01 -1.05073E-02
  9  9.00000E-01  3.85172E-05 -2.56830E-03 -4.59603E-01 -4.86615E-02
 10  1.00000E+00  6.01392E-04 -9.02825E-03  4.99907E-01 -6.52870E-02
 11  1.10000E+00  1.75148E-03 -1.32235E-02  4.00027E-01 -2.02842E-02
 12  1.20000E+00  3.11275E-03 -1.34184E-02  3.00027E-01  1.47185E-02
 13  1.30000E+00  4.33516E-03 -1.06131E-02  2.00027E-01  3.97213E-02
 14  1.40000E+00  5.16869E-03 -5.80751E-03  1.00027E-01  5.47240E-02
 15  1.50000E+00  5.46332E-03 -1.64213E-06  2.74933E-05  5.97268E-02
 16  1.60000E+00  5.16901E-03  5.80450E-03 -9.99725E-02  5.47295E-02
 17  1.70000E+00  4.33574E-03  1.06109E-02 -1.99973E-01  3.97323E-02
 18  1.80000E+00  3.11348E-03  1.34176E-02 -2.99973E-01  1.47350E-02
 19  1.90000E+00  1.75221E-03  1.32246E-02 -3.99973E-01 -2.02622E-02
 20  2.00000E+00  6.01889E-04  9.03184E-03 -4.99973E-01 -6.52595E-02
 21  2.10000E+00  3.86585E-05  2.57098E-03  4.59573E-01 -4.86868E-02
 22  2.20000E+00 -4.76512E-05 -2.00126E-04  2.50523E-01 -1.05211E-02
 23  2.30000E+00 -5.75876E-06 -4.27263E-04  3.73254E-02  2.40549E-03
 24  2.40000E+00  2.25743E-05 -1.43208E-04 -1.92763E-02  2.36523E-03
 25  2.50000E+00  2.83243E-05 -2.15376E-06 -1.28206E-02  5.78919E-04
 26  2.60000E+00  2.72439E-05  1.28344E-05 -1.24948E-03 -8.49484E-05
 27  2.70000E+00  2.62574E-05  1.11985E-05  5.66034E-03  1.67030E-04
 28  2.80000E+00  2.32010E-05  6.18137E-05  6.25821E-03  8.60832E-04
 29  2.90000E+00  1.22300E-05  1.53761E-04 -1.96760E-02  5.56745E-04
 30  3.00000E+00  3.07083E-35  0.00000E+00 -9.98887E-02 -4.98376E-03

===============================
Bending energy   :  1.37233E-03
Foundation energy:  3.42205E-03
Total energy     :  4.79438E-03
External work    :  1.78278E-03
