    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00 -4.99997E-03 -9.99989E-02  0.00000E+00  1.00000E+00
 1.50000E-01  1.03381E-03 -1.57762E-03 -4.45175E+00  2.38342E-01
 3.00000E-01  2.81772E-04  4.92115E-03 -1.41254E-01 -4.23765E-02
 4.50000E-01 -3.99796E-05  2.15244E-04  2.23835E-01 -1.30579E-02
 6.00000E-01 -1.77360E-05 -9.53938E-05  3.28813E-02  4.06496E-03
 7.50000E-01 -5.22604E-05  4.51388E-04 -1.31847E-01 -6.57455E-04
 9.00000E-01  1.43074E-05 -2.55474E-03 -4.60250E-01 -4.86831E-02
 1.05000E+00  1.09827E-03 -1.16779E-02  4.50005E-01 -4.15510E-02
 1.20000E+00  3.08537E-03 -1.34105E-02  3.00005E-01  1.46998E-02
 1.35000E+00  4.78391E-03 -8.39294E-03  1.50005E-01  4.84505E-02
 1.50000E+00  5.43449E-03 -2.98418E-07  4.99676E-06  5.97013E-02
 1.65000E+00  4.78399E-03  8.39245E-03 -1.49995E-01  4.84520E-02
 1.80000E+00  3.08550E-03  1.34103E-02 -2.99995E-01  1.47028E-02
 1.95000E+00  1.09839E-03  1.16783E-02 -4.49995E-01 -4.15465E-02
 2.10000E+00  1.43331E-05  2.55523E-03  4.60245E-01 -4.86877E-02
 2.25000E+00 -5.22652E-05 -4.51375E-04  1.31869E-01 -6.58670E-04
 2.40000E+00 -1.77375E-05  9.53700E-05 -3.28803E-02  4.06515E-03
 2.55000E+00 -3.99795E-05 -2.15245E-04 -2.23836E-01 -1.30578E-02
 2.70000E+00  2.81772E-04 -4.92115E-03  1.41254E-01 -4.23765E-02
 2.85000E+00  1.03381E-03  1.57762E-03  4.45175E+00  2.38342E-01
 3.00000E+00 -4.99997E-03  9.99989E-02  0.00000E+00  1.00000E+00

========================
Bending energy   :  7.63722E-02
Foundation energy:  2.53904E-02
Total energy     :  1.01763E-01
External work    :  1.73388E-03
