    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  5.00026E-04  5.00107E-03 -1.00000E+00  0.00000E+00
 1.00000E-01  9.93322E-05  2.54280E-03  1.10580E-01 -3.09541E-02
 2.00000E-01 -2.82892E-05  3.33472E-04  1.78760E-01 -1.23429E-02
 3.00000E-01 -2.44459E-05 -2.19050E-04  5.55789E-02 -8.16324E-04
 4.00000E-01 -4.38958E-06 -1.48930E-04  5.55197E-04  1.31059E-03
 5.00000E-01  4.16519E-06 -2.38503E-05  4.24872E-03  1.26633E-03
 6.00000E-01 -1.18536E-06  1.51160E-04  1.59696E-02  2.44858E-03
 7.00000E-01 -3.03593E-05  4.33792E-04 -3.74292E-02  2.34666E-03
 8.00000E-01 -7.26413E-05  2.02021E-04 -2.49966E-01 -1.05445E-02
 9.00000E-01  1.34584E-05 -2.56838E-03 -4.59393E-01 -4.86636E-02
 1.00000E+00  5.76326E-04 -9.02786E-03  4.99885E-01 -6.52795E-02
 1.10000E+00  1.72636E-03 -1.32220E-02  4.00005E-01 -2.02800E-02
 1.20000E+00  3.08748E-03 -1.34170E-02  3.00005E-01  1.47215E-02
 1.30000E+00  4.30970E-03 -1.06113E-02  2.00005E-01  3.97210E-02
 1.40000E+00  5.14305E-03 -5.80581E-03  1.00005E-01  5.47215E-02
 1.50000E+00  5.43759E-03 -2.98602E-07  4.99985E-06  5.97230E-02
 1.60000E+00  5.14311E-03  5.80526E-03 -9.99950E-02  5.47225E-02
 1.70000E+00  4.30980E-03  1.06109E-02 -1.99995E-01  3.97230E-02
 1.80000E+00  3.08762E-03  1.34168E-02 -2.99995E-01  1.47245E-02
 1.90000E+00  1.72649E-03  1.32223E-02 -3.99995E-01 -2.02760E-02
 2.00000E+00  5.76417E-04  9.02852E-03 -4.99995E-01 -6.52745E-02
 2.10000E+00  1.34840E-05  2.56887E-03  4.59387E-01 -4.86682E-02
 2.20000E+00 -7.26433E-05 -2.01916E-04  2.49995E-01 -1.05470E-02
 2.30000E+00 -3.03636E-05 -4.33817E-04  3.74415E-02  2.34628E-03
 2.40000E+00 -1.18678E-06 -1.51184E-04 -1.59686E-02  2.44877E-03
 2.50000E+00  4.16521E-06  2.38441E-05 -4.25000E-03  1.26645E-03
 2.60000E+00 -4.38938E-06  1.48931E-04 -5.55836E-04  1.31062E-03
 2.70000E+00 -2.44458E-05  2.19051E-04 -5.55790E-02 -8.16331E-04
 2.80000E+00 -2.82892E-05 -3.33472E-04 -1.78760E-01 -1.23429E-02
 2.90000E+00  9.93321E-05 -2.54280E-03 -1.10580E-01 -3.09541E-02
 3.00000E+00  5.00026E-04 -5.00107E-03  1.00000E+00  0.00000E+00

========================
Bending energy   :  1.49679E-03
Foundation energy:  7.38669E-04
Total energy     :  2.23546E-03
External work    :  1.73497E-03
