    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00 -1.27213E-26 -3.68795E-26  2.49844E-02 -9.19534E-03
 1.00000E-01  4.18126E-05 -7.94612E-04  2.49844E-02 -6.69690E-03
 2.00000E-01  1.50594E-04 -1.33938E-03  2.49844E-02 -4.19846E-03
 3.00000E-01  3.01361E-04 -1.63430E-03  2.49844E-02 -1.70003E-03
 4.00000E-01  4.69127E-04 -1.67939E-03  2.49844E-02  7.98410E-04
 5.00000E-01  6.28910E-04 -1.47462E-03  2.49844E-02  3.29685E-03
 6.00000E-01  7.55724E-04 -1.02002E-03  2.49844E-02  5.79528E-03
 7.00000E-01  8.24585E-04 -3.15566E-04  2.49844E-02  8.29372E-03
 8.00000E-01  8.10509E-04  6.38728E-04  2.49844E-02  1.07922E-02
 9.00000E-01  6.88511E-04  1.84287E-03  2.49844E-02  1.32906E-02
 1.00000E+00  4.33607E-04  3.29672E-03 -4.75016E-01  1.55069E-02
 1.10000E+00  1.30657E-04  2.16454E-03  1.02938E-02 -2.21585E-02
 1.20000E+00  1.16955E-05  4.14483E-04  1.36058E-01 -1.09439E-02
 1.30000E+00  5.38284E-06 -1.27932E-04  5.26253E-02 -1.35283E-03
 1.40000E+00  1.89718E-05 -1.07393E-04  2.29699E-03  9.28399E-04
 1.50000E+00  2.53844E-05 -2.84270E-05 -6.31493E-03  5.16369E-04
 1.60000E+00  2.65629E-05 -2.45611E-06 -1.58233E-03  8.46789E-05
 1.70000E+00  2.63842E-05  8.68387E-06  4.64799E-03  2.43030E-04
 1.80000E+00  2.33419E-05  6.29000E-05  5.89769E-03  8.68098E-04
 1.90000E+00  1.22664E-05  1.54522E-04 -1.96945E-02  5.48627E-04
 2.00000E+00  1.51461E-31  0.00000E+00 -9.98599E-02 -4.99016E-03

========================
Bending energy   :  6.20288E-05
Foundation energy:  1.78235E-04
Total energy     :  2.40264E-04
External work    :  2.40205E-04
