    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00 -2.69388E-36 -2.76589E-36  9.96902E-02 -4.89802E-03
 1.00000E-01  1.18390E-05 -1.46453E-04  1.89417E-02  6.09044E-04
 2.00000E-01  2.20318E-05 -5.68909E-05 -1.01747E-02  7.07629E-04
 3.00000E-01  2.62138E-05 -4.90270E-05 -1.34038E-02 -6.03214E-04
 4.00000E-01  3.59574E-05 -1.57410E-04  7.21741E-03 -1.23332E-03
 5.00000E-01  5.42535E-05 -1.42075E-04  8.77035E-02  2.88103E-03
 6.00000E-01  3.43311E-05  7.87804E-04  1.95224E-01  1.76088E-02
 7.00000E-01 -1.62827E-04  3.38627E-03 -7.37989E-02  3.01719E-02
 8.00000E-01 -5.95895E-04  4.12887E-03 -1.65775E+00 -4.15950E-02
 9.00000E-01 -4.11158E-04 -1.28950E-02 -4.32365E+00 -3.45131E-01
 1.00000E+00  3.33149E-03 -6.81101E-02 -4.51021E-01 -2.12065E-01
 1.10000E+00  8.77826E-03 -4.12913E-02 -4.50360E-01  2.48541E-01
 1.20000E+00  1.17397E-02 -1.86890E-02 -4.50360E-01  2.03505E-01
 1.30000E+00  1.26662E-02 -5.90293E-04 -4.50360E-01  1.58469E-01
 1.40000E+00  1.20079E-02  1.30048E-02 -4.50360E-01  1.13433E-01
 1.50000E+00  1.02153E-02  2.20963E-02 -4.50360E-01  6.83972E-02
 1.60000E+00  7.73877E-03  2.66843E-02 -4.50360E-01  2.33613E-02
 1.70000E+00  5.02860E-03  2.67686E-02 -4.50360E-01 -2.16747E-02
 1.80000E+00  2.53517E-03  2.23493E-02 -4.50360E-01 -6.67107E-02
 1.90000E+00  7.08853E-04  1.34265E-02 -4.50360E-01 -1.11747E-01
 2.00000E+00  0.00000E+00  0.00000E+00 -4.50360E-01 -1.56783E-01

========================
Bending energy   :  2.85259E-02
Foundation energy:  5.49434E-03
Total energy     :  3.40202E-02
External work    :  3.40011E-02
