    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  1.08559E-29 -1.05112E-29  8.63023E-01 -4.10645E-01
 1.50000E-01  4.15530E-03 -5.24463E-02  7.16438E-01 -2.92311E-01
 3.00000E-01  1.49268E-02 -8.87376E-02  5.88249E-01 -1.94784E-01
 4.50000E-01  3.01130E-02 -1.11734E-01  4.91608E-01 -1.14251E-01
 6.00000E-01  4.78917E-02 -1.23594E-01  4.34858E-01 -4.53004E-02
 7.50000E-01  6.66994E-02 -1.25586E-01  4.22308E-01  1.84221E-02
 9.00000E-01  8.50898E-02 -1.17992E-01  4.54682E-01  8.36440E-02
 1.05000E+00  1.01583E-01 -1.00120E-01  4.50019E-01  1.54979E-01
 1.20000E+00  1.14626E-01 -7.23734E-02  3.00019E-01  2.11232E-01
 1.35000E+00  1.22958E-01 -3.78759E-02  1.50019E-01  2.44985E-01
 1.50000E+00  1.25820E-01 -2.96911E-06  1.93338E-05  2.56238E-01
 1.65000E+00  1.22959E-01  3.78704E-02 -1.49981E-01  2.44990E-01
 1.80000E+00  1.14628E-01  7.23692E-02 -2.99981E-01  2.11243E-01
 1.95000E+00  1.01586E-01  1.00118E-01 -4.49981E-01  1.54996E-01
 2.10000E+00  8.50920E-02  1.17992E-01 -4.54725E-01  8.36589E-02
 2.25000E+00  6.67013E-02  1.25588E-01 -4.22346E-01  1.84310E-02
 2.40000E+00  4.78932E-02  1.23597E-01 -4.34892E-01 -4.52968E-02
 2.55000E+00  3.01140E-02  1.11737E-01 -4.91638E-01 -1.14252E-01
 2.70000E+00  1.49273E-02  8.87406E-02 -5.88277E-01 -1.94790E-01
 2.85000E+00  4.15544E-03  5.24481E-02 -7.16465E-01 -2.92321E-01
 3.00000E+00  0.00000E+00  0.00000E+00 -8.63051E-01 -4.10659E-01

========================
Bending energy   :  5.74112E-02
Foundation energy:  4.02341E-02
Total energy     :  9.76452E-02
External work    :  9.76445E-02
