    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  1.42587E-01  1.84254E-01  0.00000E+00  3.39345E-26
 1.50000E-01  1.14970E-01  1.83691E-01 -1.50000E-01 -1.12500E-02
 3.00000E-01  8.76486E-02  1.79754E-01 -3.00000E-01 -4.50000E-02
 4.50000E-01  6.13816E-02  1.69066E-01 -4.50000E-01 -1.01250E-01
 6.00000E-01  3.74349E-02  1.48254E-01 -6.00000E-01 -1.80000E-01
 7.50000E-01  1.75804E-02  1.13941E-01 -7.50000E-01 -2.81250E-01
 9.00000E-01  4.09623E-03  6.27540E-02 -9.00000E-01 -4.05000E-01
 1.05000E+00 -3.96488E-04  9.02661E-04  4.91750E+00 -1.86626E-01
 1.20000E+00 -1.61452E-05 -1.31284E-03 -2.71435E-01  2.81591E-02
 1.35000E+00  1.48191E-05  1.53809E-04 -3.60735E-02 -8.00610E-04
 1.50000E+00  4.73738E-06  7.29011E-13  4.95428E-12 -5.96060E-04
 1.65000E+00  1.48191E-05 -1.53809E-04  3.60735E-02 -8.00610E-04
 1.80000E+00 -1.61452E-05  1.31284E-03  2.71435E-01  2.81591E-02
 1.95000E+00 -3.96488E-04 -9.02661E-04 -4.91750E+00 -1.86626E-01
 2.10000E+00  4.09623E-03 -6.27540E-02  9.00000E-01 -4.05000E-01
 2.25000E+00  1.75804E-02 -1.13941E-01  7.50000E-01 -2.81250E-01
 2.40000E+00  3.74349E-02 -1.48254E-01  6.00000E-01 -1.80000E-01
 2.55000E+00  6.13816E-02 -1.69066E-01  4.50000E-01 -1.01250E-01
 2.70000E+00  8.76486E-02 -1.79754E-01  3.00000E-01 -4.50000E-02
 2.85000E+00  1.14970E-01 -1.83691E-01  1.50000E-01 -1.12500E-02
 3.00000E+00  1.42587E-01 -1.84254E-01  0.00000E+00  0.00000E+00

========================
Bending energy   :  5.66107E-02
Foundation energy:  2.14598E-03
Total energy     :  5.87567E-02
External work    :  5.87515E-02
